,names,nfollowers,ntweets,type
837,dylanmatt,,35397,
838,C_G_S,,6564,
839,nyulaw,,20566,
840,edyong209,,110015,
841,peez,,941,
842,carlzimmer,,32745,
843,social_brains,,4948,
844,DavidEpstein,,19302,
845,WINWorkshop,,249,
846,dustintingley,,324,
847,PsychToday,,22727,
848,CFCamerer,,12687,
849,sapinker,,4564,
850,PolSciReplicate,,1399,
851,RebeccaHannagan,,14887,
852,GaryMarcus,,8028,
853,sinanaral,,8167,
854,juanmaclean,,5835,
855,APSAtweets,,4489,
856,Kurkjian_ESPN,,1018,
857,runnersworld,,52822,
858,deankarlan,,1434,
859,80miles,,1546,
860,rmbond15,,23,
861,ChelseaFC,,71888,
862,thebrianposehn,,3941,
863,steadycraig,,2595,
864,_GuidedByVoices,,1148,
865,BradFree1,,3229,
866,jeremyfreese,,3788,
867,dktr_dr,,2349,
868,carlymjacobs,,2497,
869,jayvanbavel,,769,
870,fazol,,3426,
871,simonjhix,,8360,
872,david_rees,,11874,
873,EricTopol,,12921,
874,RichBonneauNYU,,1784,
875,p_barbera,,1987,
876,kevinevans22,,103,
877,DRFDerby,,15823,
878,David_S_Wilson,,2619,
879,theknifenews,,359,
880,RussellSageFdn,,5457,
881,aoscott,,8115,
882,rkurzban,,234,
883,IGGatUCDavis,,21,
884,RLangTip,,1714,
885,PacificStand,,51728,
886,ElectProject,,17211,
887,BJPolS,,3416,
888,Pogue,,8864,
889,jwpatty,,3982,
890,AJPS_Editor,,418,
891,EJ_RES,,4027,
892,PolPsyISPP,,2456,
893,PolPsy,,3166,
894,Neuro_Skeptic,,33293,
895,thrashlab,,1704,
896,JamesDevittNYU,,2175,
897,PolNeuro,,240,
898,drewconway,,25294,
899,JonHaidt,,2096,
900,adamramey,,756,
901,SamSifton,,19931,
902,mrbobodenkirk,,682,
903,electionstudies,,220,
904,pourmecoffee,,53490,
905,cfchabris,,3211,
906,sfiscience,,2409,
907,ASPCA,,30695,
908,SamPopkin,,232,
909,YouGovUS,,6322,
910,kristenschaaled,,7194,
911,JetBlueCheeps,,1233,
912,victorylab,,1858,
913,NAChristakis,,12571,
914,razibkhan,,84160,
915,R_Thaler,,5426,
916,OldHossRadbourn,,17327,
917,HammerBDX,,191,
918,TheRealYLT,,5059,
919,HiddenBrain,,9088,
920,MalkmusAndJicks,,846,
921,jayrosen_nyu,,59145,
922,pewresearch,,54399,
923,TheOnion,,53504,
924,dragcityrecords,,9752,
925,DAVID_LYNCH,,834,
926,RayDuch,,302,
927,europsa,,231,
928,DavidBrooks13,,7,
929,danariely,,1473,
930,PsychScience,,7895,
931,23andMe,,15346,
932,soundcheck,,17222,
933,social_neuro,,628,
934,galifianakisz,,106,
935,FranciscoCantu,,1347,
936,genetics_blog,,13671,
937,CogNeuroNews,,3458,
938,BabboRistorante,,4079,
939,caribouband,,3747,
940,JerrySeinfeld,,1494,
941,vanbavellab,,593,
942,TheEconomist,,115727,
943,nprmusic,,28664,
944,boweryballroom,,2900,
945,nyuskirball,,5861,
946,VecchiosBoulder,,6449,
947,colsonwhitehead,,15590,
948,NYULocal,,13118,
949,ericripert,,4053,
950,Gothamist,,110109,
951,AndySecretStash,,1421,
952,MonmouthPark,,2388,
953,tomcolicchio,,30556,
954,tanlines,,12247,
955,spoontheband,,845,
956,davidchang,,2685,
957,momofuku,,7451,
